                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1618.4,                 1.2619,                  3.667,                 1655.2,                0.01588,                0.56667,                0.11813,                0.09423,                0.02413,                0.69167,                0.14537,                0.08829,                 1576.9,                  1.538,                 3.6062,                 1404.8,              0.0083665,              0.0083665,              0.0083665
                     35,                 1547.9,                 1.2659,                 3.6468,                 1607.2,                0.01846,                0.60833,                0.14922,                0.13189,                0.02336,                0.68333,                0.17058,                0.11163,                 1565.5,                 1.5905,                 3.4941,                 1392.1,               0.008317,               0.008317,               0.008317
                     36,                 1898.4,                 1.3045,                 3.6804,                   1890,                0.02033,                0.68056,                0.14211,                0.12093,                0.02394,                0.73611,                0.16529,                0.10589,                 1385.7,                 1.4705,                 3.5307,                 1347.6,              0.0082675,              0.0082675,              0.0082675
                     37,                 1730.3,                 1.2834,                 3.6054,                 1748.6,                0.02058,                0.67222,                0.12832,                 0.1012,                0.02433,                0.73056,                0.14929,                0.09648,                 1312.5,                 1.4204,                 3.5295,                 1344.1,               0.008218,               0.008218,               0.008218
                     38,                 1733.8,                 1.2381,                 3.6425,                 1731.2,                0.01981,                0.64722,                0.15814,                0.13696,                0.02425,                0.71667,                0.18182,                0.11813,                 1535.6,                  1.545,                 3.4735,                 1394.1,              0.0081685,              0.0081685,              0.0081685
                     39,                 1547.9,                 1.2318,                  3.608,                 1692.9,                0.02017,                0.66389,                0.13168,                0.11138,                0.02414,                  0.725,                0.15439,                0.10381,                 1515.6,                 1.5293,                 3.4947,                 1371.8,               0.008119,               0.008119,               0.008119
                     40,                 1611.5,                 1.2267,                 3.6248,                 1696.5,                0.02017,                0.66389,                0.14547,                0.12479,                0.02395,                0.72222,                0.17022,                0.11788,                 1528.9,                 1.5076,                 3.5019,                 1371.6,              0.0080695,              0.0080695,              0.0080695
                     41,                 1733.4,                  1.235,                 3.6432,                 1753.5,                0.02035,                   0.65,                0.14262,                0.11962,                0.02454,                0.71389,                0.17019,                0.11596,                 1494.7,                 1.5043,                 3.4736,                   1371,                0.00802,                0.00802,                0.00802
                     42,                 1490.6,                  1.212,                 3.6345,                 1670.9,                0.01939,                0.65278,                0.11481,                0.08917,                0.02407,                  0.725,                0.13633,                0.08744,                 1447.4,                 1.4782,                 3.5855,                 1369.6,              0.0079705,              0.0079705,              0.0079705
                     43,                 1638.7,                 1.2265,                 3.6241,                 1716.6,                0.01907,                0.64722,                0.12766,                0.10416,                0.02466,                0.73333,                0.14903,                0.09914,                 1265.2,                 1.4422,                 3.5312,                 1337.1,               0.007921,               0.007921,               0.007921
                     44,                 1612.1,                  1.234,                 3.6692,                 1746.2,                0.01846,                0.62222,                0.11884,                0.09308,                0.02484,                0.71944,                 0.1414,                0.09804,                   1729,                 1.5831,                 3.5701,                 1406.5,              0.0078715,              0.0078715,              0.0078715
                     45,                 1517.1,                 1.2112,                 3.6553,                 1648.9,                0.01931,                0.63611,                0.10626,                0.08163,                0.02456,                0.71667,                0.12931,                 0.0851,                 1626.6,                 1.5898,                 3.5138,                 1400.4,               0.007822,               0.007822,               0.007822
                     46,                 1592.1,                 1.2541,                 3.6173,                 1690.9,                0.02044,                0.67222,                0.12085,                0.09614,                0.02434,                0.73333,                0.13924,                0.09188,                 1301.8,                 1.4144,                 3.5059,                 1335.3,              0.0077725,              0.0077725,              0.0077725
                     47,                   1473,                 1.2404,                 3.6128,                 1663.8,                0.01957,                  0.675,                0.13534,                  0.107,                0.02432,                   0.75,                0.15468,                0.10243,                   1370,                 1.3936,                 3.5243,                 1343.8,               0.007723,               0.007723,               0.007723
                     48,                 1631.2,                 1.2103,                 3.6314,                 1760.2,                0.01991,                0.66667,                0.12374,                 0.1025,                0.02378,                0.72778,                0.14244,                0.09537,                 1488.1,                 1.4977,                 3.4474,                 1372.1,              0.0076735,              0.0076735,              0.0076735
                     49,                 1593.7,                 1.2179,                 3.5966,                 1702.2,                0.01937,                0.63056,                0.11627,                0.09257,                0.02322,                0.69167,                0.13531,                0.08841,                 1506.1,                 1.4926,                 3.4923,                   1374,               0.007624,               0.007624,               0.007624
                     50,                 1660.1,                 1.2177,                 3.6249,                 1807.4,                   0.02,                0.69722,                  0.111,                0.08986,                0.02437,                0.76667,                0.13135,                0.08855,                 1373.6,                 1.4243,                 3.4741,                 1342.5,              0.0075745,              0.0075745,              0.0075745
                     51,                 1360.5,                 1.2044,                 3.5884,                 1572.6,                0.01953,                0.65833,                0.09716,                0.07583,                0.02432,                0.73333,                0.11689,                0.07829,                   1370,                 1.4335,                 3.5006,                 1348.1,               0.007525,               0.007525,               0.007525
                     52,                 1562.3,                 1.1617,                   3.67,                 1799.5,                0.02024,                  0.625,                0.09167,                0.07378,                0.02418,                0.68611,                0.11052,                0.07426,                 1535.1,                 1.4937,                 3.4976,                 1373.7,              0.0074755,              0.0074755,              0.0074755
