epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,92.8597,0.4909,0.52941,0.41117,0.8013,0.99331,0.99957,0.995,0.87889,0.99331,0.99957,0.995,0.80075,0.71377,1.18137,0.39882,0.84614,0.00110362,0.00110362,0.00110362
48,94.8529,0.46068,0.51013,0.40506,0.8049,0.9965,1,0.995,0.86867,0.9965,1,0.995,0.80961,0.76559,1.34406,0.40464,0.85898,0.00109654,0.00109654,0.00109654
49,96.7923,0.48201,0.55162,0.40111,0.79985,0.99627,1,0.995,0.86386,0.99627,1,0.995,0.80223,0.75514,1.34319,0.41073,0.85615,0.00108947,0.00108947,0.00108947
50,98.8033,0.4725,0.51809,0.40652,0.79739,0.99214,1,0.995,0.87925,0.99214,1,0.995,0.80014,0.74472,1.42775,0.38385,0.85574,0.0010824,0.0010824,0.0010824
51,100.786,0.47845,0.55647,0.40229,0.80002,0.99295,1,0.995,0.87458,0.99295,1,0.995,0.80542,0.72825,1.26835,0.39838,0.85072,0.00107532,0.00107532,0.00107532
52,102.745,0.46209,0.53624,0.39961,0.80012,0.9957,1,0.995,0.89312,0.9957,1,0.995,0.79733,0.71767,1.29815,0.38015,0.8498,0.00106825,0.00106825,0.00106825
53,104.703,0.46207,0.54255,0.38681,0.79892,0.99703,1,0.995,0.89359,0.99703,1,0.995,0.80079,0.70599,1.16285,0.38257,0.8465,0.00106118,0.00106118,0.00106118
54,106.725,0.46167,0.5117,0.39226,0.79783,0.99568,1,0.995,0.87205,0.99568,1,0.995,0.79646,0.77342,1.26449,0.40126,0.85985,0.0010541,0.0010541,0.0010541
55,108.732,0.47526,0.52958,0.37895,0.79548,0.99573,1,0.995,0.88205,0.99573,1,0.995,0.80693,0.72093,1.2543,0.37821,0.8474,0.00104703,0.00104703,0.00104703
56,110.739,0.46273,0.54099,0.386,0.79685,0.99599,1,0.995,0.88289,0.99599,1,0.995,0.80621,0.73064,1.2942,0.36188,0.85076,0.00103995,0.00103995,0.00103995
57,112.692,0.45819,0.52698,0.38205,0.80195,0.99554,1,0.995,0.88991,0.99554,1,0.995,0.80685,0.71671,1.14805,0.35943,0.84786,0.00103288,0.00103288,0.00103288
58,114.705,0.46331,0.52973,0.38472,0.80214,0.99665,1,0.995,0.87177,0.99665,1,0.995,0.8079,0.7704,1.25321,0.38844,0.85932,0.00102581,0.00102581,0.00102581
59,116.707,0.4893,0.54148,0.37833,0.79759,0.99634,1,0.995,0.87653,0.99634,1,0.995,0.8223,0.74928,1.24563,0.39743,0.85407,0.00101873,0.00101873,0.00101873
60,118.685,0.48188,0.5416,0.37301,0.80357,0.99632,1,0.995,0.88885,0.99632,1,0.995,0.79727,0.70362,1.10604,0.37671,0.84487,0.00101166,0.00101166,0.00101166
61,120.688,0.46565,0.53224,0.3727,0.80903,0.99675,1,0.995,0.87319,0.99675,1,0.995,0.81582,0.74787,1.22282,0.37361,0.85488,0.00100459,0.00100459,0.00100459
62,122.681,0.46724,0.54708,0.37713,0.80138,0.99639,0.99987,0.995,0.88938,0.99639,0.99987,0.995,0.81891,0.71414,1.05378,0.35328,0.84786,0.000997513,0.000997513,0.000997513
63,124.608,0.4471,0.52044,0.36135,0.7967,0.99596,1,0.995,0.88531,0.99596,1,0.995,0.80718,0.71273,1.07658,0.35065,0.84718,0.00099044,0.00099044,0.00099044
64,126.681,0.46436,0.54339,0.35969,0.80165,0.99561,1,0.995,0.88943,0.99561,1,0.995,0.81525,0.73653,1.34801,0.36311,0.85433,0.000983366,0.000983366,0.000983366
65,128.628,0.44707,0.49959,0.36513,0.80356,0.99507,0.99916,0.995,0.89457,0.99507,0.99916,0.995,0.81685,0.70087,1.29821,0.34709,0.84429,0.000976293,0.000976293,0.000976293
66,130.626,0.43917,0.54035,0.35103,0.80115,0.99546,1,0.995,0.89611,0.99546,1,0.995,0.81068,0.74239,1.39781,0.36231,0.85111,0.000969219,0.000969219,0.000969219
67,132.607,0.45683,0.5236,0.36303,0.80222,0.99586,1,0.995,0.89279,0.99586,1,0.995,0.81755,0.73243,1.29069,0.35907,0.84871,0.000962146,0.000962146,0.000962146
